icd10,doid  
E26.8,0110144
E26.8,0110145
E26.8,0110146
E26.8,0110147
G60.0,0110148
G60.0,0110149
G60.0,0110150
G60.0,0110151
G60.0,0110152
G60.0,0110153
G60.0,0110154
G60.0,0110155
G60.0,0110156
G60.0,0110157
G60.0,0110158
G60.0,0110159
G60.0,0110160
G60.0,0110161
G60.0,0110163
G60.0,0110164
G60.0,0110165
G60.0,0110166
G60.0,0110167
G60.0,0110168
G60.0,0110169
G60.0,0110170
G60.0,0110173
G60.0,0110174
G60.0,0110175
G60.0,0110177
G60.0,0110179
G60.0,0110182
G60.0,0110183
G60.0,0110184
G60.0,0110185
G60.0,0110186
G60.0,0110187
H35.5,0110188
H35.5,0110189
G60.0,0110190
G60.0,0110191
G60.0,0110192
G60.0,0110193
G60.0,0110194
G60.0,0110195
G60.0,0110196
G60.0,0110197
G60.0,0110198
G60.0,0110199
G60.0,0110200
G60.0,0110202
G60.0,0110203
G60.0,0110204
G60.0,0110205
G60.0,0110206
G60.0,0110207
G60.0,0110208
G60.0,0110209
G60.0,0110210
G60.0,0110211
G60.0,0110212
Q35.1,0110213
Q35.9,0110213
Q35.5,0110213
Q35.7,0110213
Q35.3,0110213
Q35.3,0110214
H35.5,0110215
H35.5,0110216
H35.5,0110217
I49.8,0110218
I49.8,0110219
I49.8,0110220
I49.8,0110221
I49.8,0110222
I49.8,0110223
I49.8,0110224
I49.8,0110225
I49.8,0110226
Q12.0,0110227
Q12.0,0110228
Q12.0,0110229
Q12.0,0110230
Q12.0,0110231
Q12.0,0110232
Q12.0,0110233
Q12.0,0110234
Q12.0,0110235
Q12.0,0110236
Q12.0,0110237
Q12.0,0110238
Q12.0,0110239
Q12.0,0110240
Q12.0,0110241
Q12.0,0110242
Q12.0,0110243
Q12.0,0110245
Q12.0,0110246
Q12.0,0110248
Q12.0,0110249
Q12.0,0110250
Q12.0,0110251
Q12.0,0110252
Q12.0,0110253
Q12.0,0110254
Q12.0,0110255
Q12.0,0110256
Q12.0,0110257
Q12.0,0110258
Q12.0,0110259
Q12.0,0110260
Q12.0,0110261
Q12.0,0110262
Q12.0,0110263
Q12.0,0110264
Q12.0,0110265
Q12.0,0110266
Q12.0,0110267
Q12.0,0110268
Q12.0,0110269
Q12.0,0110270
Q12.0,0110271
Q12.0,0110272
G71.0,0110273
G71.0,0110274
G71.0,0110275
G71.0,0110276
G71.0,0110277
G71.0,0110278
G71.0,0110279
G71.0,0110280
G71.0,0110281
G71.0,0110282
G71.0,0110283
G71.0,0110284
G71.0,0110285
G71.0,0110287
G71.0,0110289
H35.5,0110291
G71.0,0110292
G71.0,0110293
G71.0,0110294
G71.0,0110295
G71.0,0110296
G71.0,0110297
G71.0,0110298
G71.0,0110299
G71.0,0110303
G71.0,0110304
G71.0,0110305
G71.0,0110306
H35.5,0110329
H35.5,0110330
H35.5,0110331
H35.5,0110332
H35.5,0110333
Q78.0,0110335
Q78.0,0110336
Q78.0,0110337
Q78.0,0110338
Q78.0,0110339
Q78.0,0110340
Q78.0,0110341
Q78.0,0110342
Q78.0,0110343
Q78.0,0110344
Q78.0,0110345
Q78.0,0110346
Q78.0,0110347
Q78.0,0110348
