icd10,doid
N13.7,9620
A67.9,1022
B36.1,8912
G47.3,0060731
E53.0,8454
H90.3,0110593
H10.0,9700
K76.1,13739
H50.0,9840
C05.0,9149
J05.0,9395
H16.2,9368
G57.0,12528
N62,12698
T88.3,8545
E72.2,9267
H31.2,9794
H49.1,13864
D86.3,13402
Q43.0,9487
Q32.0,0060313
F64.1,1233
E70.8,0060693
G12.1,0111552
E20.1,4184
C10.1,8133
A21.0,11990
C74.0,660
D67,12259
H46,1210
H02.3,348
D47.4,4971
C75.0,1540
G43.8,0060178
H73.1,11217
K76.4,914
E83.4,0060885
C06.0,8702
A03.1,12385
H70.9,0060322
D69.1,2219
P37.5,9577
K76.9,409
M79.7,631
B01.9,8659
G52.7,13866
R48.2,0060135
F52.5,10131
K03.8,214
P96.1,9828
B70.0,10075
J15.0,13272
C61,10283
Q25.0,13832
C14.2,8937
G93.7,14525
A21.2,2122
G96.9,331
B66.5,888
Q99.8,0060461
A67.1,1022
D72.8,0110117
C67.5,11809
D13.7,1799
H83.9,2952
K56.2,8445
Q56.3,3765
G90.5,1811
D68.1,2229
Q75.1,2339
B37.3,2272
C51.2,2401
H83.0,1468
A93.2,4885
N34.2,1343
H10.1,11203
C46.3,8632
H47.6,5691
H18.1,11031
I72.9,178
D84.1,626
Q85.1,13515
F50.0,8689
A07.1,10718
B74.4,1081
I80.0,3875
K13.3,0060315
I15.0,1591
A75.0,11256
A01.4,3055
G36.0,8869
C34.2,1324
B66.2,1219
E76.0,12802
C16.3,10547
N25.0,13068
B08.1,8867
M31.0,9809
Q34.8,0110628
K22.9,6050
G71.0,9884
J04.1,9392
E83.1,2351
J01.2,9506
H30.9,8886
N41.9,14654
F84.2,1206
C55,363
C05.1,8578
C71.4,910
D07.4,8872
K31.2,12234
H81.2,12683
B37.9,14262
C25.1,1793
J61,10320
C69.3,12759
C18.5,12191
A85.8,5225
K11.5,12905
D59.5,0060284
F52.4,13709
Q81.1,0060737
G52.9,5656
Q24.8,0110070
D64.9,2355
Q10.0,0060261
C57.1,10744
E75.6,9455
K91.1,8439
C16.6,10534
A18.1,2149
N32.9,365
M05.0,11042
H61.0,222
P78.3,0060781
N01,4776
B35.3,12403
A92.8,0060478
D69.6,1588
E80.4,2739
I42.8,0110084
K21.9,8534
H92.1,10261
L44.0,9212
Q23.4,9955
F12,9505
H52.0,9834
H02.2,12959
M46.4,10986
H16.3,9858
P61.1,11242
N80.2,11424
D73.1,6376
E76.1,12799
M94.0,14021
C13.0,8660
A23.1,14457
M35.3,853
G73.6,0090101
I42.4,12929
H65.2,11181
O40,8488
H27.9,110
H71,10964
G82.5,12835
B81.0,7033
C73,1781
K60.3,0060328
D75.0,10780
C32.0,2595
B83.9,883
E15,1607
K55.3,8677
C85.2,0080210
L12.0,8506
J15.7,13276
O26.4,14482
K29.2,8680
H16.0,8463
A07.3,2112
D73.5,2533
Q13.1,12271
I95.1,0111154
N17.1,2973
D69.3,8924
A57,13778
G00.2,11574
K73.9,2237
B66.8,884
Z88.1,0040008
I73.0,10300
A22.0,7426
A20.2,10398
Q53.9,11383
K22.7,9206
E05.9,7998
A25.0,12096
A83.1,10843
Q60.6,12594
H31.9,1417
C96.6,2571
B03,8736
D69.2,3326
Q11.0,0060842
